pressure,humidity,temp_min,temp_max,Date
1016,100,293.15,293.15,17-11-2019
1016,100,293.15,293.15,17-11-2019
1016,100,293.15,293.15,17-11-2019
1016,100,293.15,293.15,17-11-2019
1016,100,293.15,293.15,17-11-2019
1016,100,293.15,293.15,17-11-2019
1019,83,294.15,296.48,24-11-2019
